epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.375,6.65465784072876,0.4000000059604645,115.03206634521484
1,0.48750001192092896,1.8990548849105835,0.44999998807907104,34.77338790893555
2,0.5625,1.1902430057525635,0.32499998807907104,6.987033843994141
3,0.48124998807907104,1.0500915050506592,0.42500001192092896,2.804823875427246
4,0.5562499761581421,0.8626699447631836,0.4000000059604645,1.3087999820709229
5,0.606249988079071,0.8038133382797241,0.5,1.1304585933685303
6,0.5874999761581421,0.8008072972297668,0.4749999940395355,1.0232971906661987
7,0.643750011920929,0.743043839931488,0.4749999940395355,0.9841248393058777
8,0.6000000238418579,0.7678675651550293,0.42500001192092896,1.039505124092102
9,0.6499999761581421,0.7268751263618469,0.44999998807907104,1.0079070329666138
10,0.6499999761581421,0.7245708703994751,0.375,1.2057849168777466
11,0.643750011920929,0.683671772480011,0.3499999940395355,1.638967752456665
12,0.6499999761581421,0.6600595116615295,0.5,0.9278987646102905
13,0.699999988079071,0.676072895526886,0.4749999940395355,1.0593016147613525
14,0.668749988079071,0.6937856674194336,0.4000000059604645,1.284626841545105
15,0.6312500238418579,0.6680806875228882,0.4749999940395355,1.4583399295806885
16,0.6312500238418579,0.6526345014572144,0.5249999761581421,0.9738767743110657
17,0.6312500238418579,0.651962399482727,0.5,1.010435938835144
18,0.6875,0.5642839670181274,0.574999988079071,0.9421585202217102
19,0.668749988079071,0.5693122148513794,0.550000011920929,0.9091020822525024
